day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2025-08-05,2025-08-05 12:15:00+00:00,short,114470.0,114709.41714285714,114070.97142857143,2025-08-05 12:30:00+00:00,114070.97142857143,take_profit,33.33333333333333,1.6666666666666667,False
2025-08-06,2025-08-06 12:00:00+00:00,short,113903.7,114071.16,113624.59999999999,2025-08-06 13:30:00+00:00,113624.59999999999,take_profit,33.33333333333275,1.6666666666666377,False
2025-08-07,2025-08-07 12:00:00+00:00,short,116244.2,116480.86571428571,115849.75714285714,2025-08-07 16:45:00+00:00,115849.75714285714,take_profit,33.333333333333336,1.6666666666666667,False
2025-08-08,2025-08-08 12:45:00+00:00,short,116450.4,116591.45142857142,116215.31428571428,2025-08-08 15:00:00+00:00,116215.31428571428,take_profit,33.33333333333265,1.6666666666666323,False
2025-08-09,2025-08-09 12:30:00+00:00,short,116982.7,117158.89428571428,116689.04285714285,2025-08-09 15:15:00+00:00,116689.04285714285,take_profit,33.33333333333388,1.6666666666666943,False
2025-08-10,2025-08-10 12:15:00+00:00,long,118533.3,118206.31714285715,119078.27142857143,2025-08-10 15:00:00+00:00,119078.27142857143,take_profit,33.333333333333925,1.6666666666666963,False
2025-08-11,2025-08-11 12:00:00+00:00,short,120170.2,120556.74571428572,119525.95714285714,2025-08-11 12:45:00+00:00,119525.95714285714,take_profit,33.33333333333309,1.666666666666654,False
2025-08-12,2025-08-12 12:30:00+00:00,long,119064.5,118770.74857142857,119554.08571428571,2025-08-12 13:30:00+00:00,119554.08571428571,take_profit,33.33333333333333,1.6666666666666667,False
2025-08-13,2025-08-13 12:45:00+00:00,short,120254.6,120715.07428571429,119487.14285714287,2025-08-13 13:15:00+00:00,120715.07428571429,stop_loss,-20.0,-1.0,False
2025-08-14,2025-08-14 12:15:00+00:00,long,121140.6,120769.45714285715,121759.17142857144,2025-08-14 12:30:00+00:00,120769.45714285715,stop_loss,-20.0,-1.0,False
2025-08-15,2025-08-15 12:15:00+00:00,short,118599.9,118844.10857142856,118192.88571428572,2025-08-15 13:30:00+00:00,118192.88571428572,take_profit,33.333333333333734,1.6666666666666865,False
2025-08-16,2025-08-16 12:30:00+00:00,long,117612.5,117485.58285714286,117824.02857142857,2025-08-16 20:00:00+00:00,117485.58285714286,stop_loss,-20.0,-1.0,False
2025-08-17,2025-08-17 12:15:00+00:00,short,118188.8,118378.16,117873.2,2025-08-17 16:30:00+00:00,117873.2,take_profit,33.33333333333385,1.6666666666666923,False
2025-08-18,2025-08-18 12:00:00+00:00,long,115085.4,114798.59999999999,115563.4,2025-08-18 13:00:00+00:00,115563.4,take_profit,33.333333333332995,1.6666666666666496,False
2025-08-22,2025-08-22 12:00:00+00:00,short,112031.2,112255.06857142856,111658.08571428571,2025-08-22 12:30:00+00:00,111658.08571428571,take_profit,33.33333333333377,1.6666666666666883,False
